player_id,full_name,position,GW,gameweek_points,value,avg_score_last_1,avg_score_last_3,ict_last_1,ict_last_3,avg_mins_last_1,avg_mins_last_3,xG_last_1,xG_last_3,xA_last_1,xA_last_3,clean_sheets_last_1,clean_sheets_last_3,fixture_difficulty,season
3,Granit Xhaka,MID,25,3,49,3.0,2.3333333333333335,3.1,6.199999999999998,90.0,83.33333333333333,0.0,0.11,0.08,0.18,1.0,1.0,2,2022-23
3,Granit Xhaka,MID,26,1,49,3.0,2.6666666666666665,1.1,5.799999999999999,71.0,79.66666666666667,0.0,0.06,0.04,0.14,1.0,2.0,2,2022-23
3,Granit Xhaka,MID,27,3,49,1.0,2.3333333333333335,0.3,4.499999999999999,6.0,55.666666666666664,0.0,0.0,0.01,0.13,0.0,2.0,2,2022-23
3,Granit Xhaka,MID,28,9,49,3.0,2.3333333333333335,5.1,6.499999999999998,90.0,55.666666666666664,0.13,0.13,0.06,0.11,1.0,2.0,2,2022-23
3,Granit Xhaka,MID,29,9,49,9.0,4.333333333333333,9.3,14.7,90.0,62.0,0.4,0.53,0.06,0.13,0.0,1.0,2,2022-23
3,Granit Xhaka,MID,30,1,49,9.0,7.0,8.1,22.5,85.0,88.33333333333333,0.15,0.68,0.25,0.37,0.0,1.0,4,2022-23
3,Granit Xhaka,MID,31,2,49,1.0,6.333333333333333,1.6,18.999999999999996,90.0,88.33333333333333,0.04,0.59,0.01,0.32,0.0,0.0,3,2022-23
3,Granit Xhaka,MID,33,1,49,0.0,1.0,0.0,4.699999999999998,0.0,60.0,0.0,0.04,0.0,0.05,0.0,0.0,5,2022-23
3,Granit Xhaka,MID,34,13,48,1.0,1.0,2.7,5.799999999999999,59.0,49.666666666666664,0.02,0.02,0.03,0.07,0.0,0.0,3,2022-23
3,Granit Xhaka,MID,35,3,48,13.0,4.666666666666667,13.4,16.099999999999998,90.0,49.666666666666664,0.73,0.75,0.14,0.17,0.0,0.0,4,2022-23
3,Granit Xhaka,MID,36,1,48,3.0,5.666666666666667,3.5,19.6,90.0,79.66666666666667,0.0,0.75,0.17,0.34,1.0,1.0,3,2022-23
3,Granit Xhaka,MID,37,2,48,1.0,5.666666666666667,3.0,19.9,59.0,79.66666666666667,0.1,0.83,0.02,0.33,0.0,1.0,2,2022-23
3,Granit Xhaka,MID,38,15,48,2.0,2.0,0.5,6.999999999999998,62.0,70.33333333333333,0.0,0.1,0.01,0.2,0.0,1.0,2,2022-23
4,Mohamed Elneny,MID,18,1,42,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022-23
5,Rob Holding,DEF,18,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022-23
5,Rob Holding,DEF,21,1,42,0.0,0.3333333333333333,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2022-23
