element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty
403,Nathan Redmond,MID,16,0,53,0,0.0,0.0,0.0,0,0,0,0,0.0,154,False,4
58,Junior Stanislas,MID,16,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,151,True,2
150,Armando Broja,FWD,16,2,53,72,0.1058,0.03711,1.029,0,0,1,0,3.9,156,False,4
366,Fabian Schär,DEF,16,7,49,90,0.0599,0.00498,0.2957,0,0,0,1,5.3,156,True,3
249,Jonny Evans,DEF,16,0,44,0,0.0,0.0,0.0,0,0,0,0,0.0,159,False,3
394,Brennan Johnson,FWD,16,5,56,90,0.1224,0.16667,1.2153,0,1,0,1,4.5,157,True,2
514,Cheick Doucouré,MID,16,2,50,84,0.0,0.02202,1.0328,0,0,1,0,2.7,157,False,2
553,Oliver Hammond,MID,16,0,43,0,0.0,0.0,0.0,0,0,0,0,0.0,157,True,2
485,Luke Cundle,MID,16,0,44,0,0.0,0.0,0.0,0,0,0,0,0.0,160,True,4
540,Fin Stevens,DEF,16,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,155,False,5
451,Brandon Austin,GK,16,0,39,0,0.0,0.0,0.0,0,0,0,0,0.0,158,True,2
158,Luka Milivojevic,MID,16,0,43,0,0.0,0.0,0.0,0,0,0,0,0.0,157,False,2
272,Wesley Fofana,DEF,16,0,43,0,0.0,0.0,0.0,0,0,0,0,0.0,156,False,4
529,Gianluca Scamacca,FWD,16,1,67,90,0.3106,0.01462,1.776,0,0,2,0,3.0,159,True,3
281,Alisson Ramses Becker,GK,16,3,54,90,0.0,0.00163,1.0531,0,0,1,0,3.8,154,True,2
411,Che Adams,FWD,16,8,64,90,0.5868,0.57237,1.9856,1,0,3,0,10.2,154,False,4
237,Sam Greenwood,FWD,16,1,42,45,0.1583,0.04728,0.9969,0,0,3,0,4.1,158,False,4
203,Nathaniel Chalobah,MID,16,0,44,0,0.0,0.0,0.0,0,0,0,0,0.0,153,True,3
