first_name,second_name,element_type,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,influence,creativity,threat,now_cost,ict_index,id,value,full_name
Alfie,Gilchrist,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,170,0.0,Alfie Gilchrist
Malo,Gusto,DEF,6,433,0,0,0,8,1,0,0,67.0,42.2,24.0,49,13.4,171,1.2244897959183672,Malo Gusto
Reece,James,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49,0.0,172,0.0,Reece James
Omari,Kellyman,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,173,0.0,Omari Kellyman
Roméo,Lavia,MID,3,76,0,0,0,1,0,0,0,15.6,16.8,0.0,45,3.3,174,0.6666666666666666,Roméo Lavia
Romelu,Lukaku Bolingoli,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,63,0.0,175,0.0,Romelu Lukaku Bolingoli
Malang,Sarr,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,176,0.0,Malang Sarr
Noni,Madueke,MID,43,476,4,1,2,6,0,0,6,174.0,90.6,256.0,65,52.1,177,6.615384615384615,Noni Madueke
Marc,Guiu Paz,FWD,1,24,0,0,0,1,0,0,0,0.0,0.3,0.0,49,0.0,178,0.2040816326530612,Marc Guiu Paz
Mykhailo,Mudryk,MID,4,81,0,0,0,2,0,0,0,13.0,29.0,2.0,62,4.3,179,0.6451612903225806,Mykhailo Mudryk
Nicolas,Jackson,FWD,42,521,4,3,2,7,2,0,5,209.4,92.4,297.0,79,59.9,180,5.3164556962025316,Nicolas Jackson
Christopher,Nkunku,MID,13,125,1,0,0,1,0,0,1,62.8,49.6,90.0,60,20.2,181,2.1666666666666665,Christopher Nkunku
Cole,Palmer,MID,67,595,6,5,2,8,3,0,9,366.4,298.1,204.0,108,86.9,182,6.203703703703703,Cole Palmer
Đorđe,Petrović,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,183,0.0,Đorđe Petrović
Renato,Palma Veiga,MID,5,127,0,0,1,1,1,0,0,30.4,5.5,15.0,45,5.1,184,1.1111111111111112,Renato Palma Veiga
Robert,Sánchez,GK,36,630,0,0,2,8,1,0,5,246.4,0.0,0.0,47,24.5,185,7.659574468085106,Robert Sánchez
Tosin,Adarabioyo,DEF,8,119,0,0,1,0,0,0,0,36.2,11.1,0.0,44,4.8,187,1.8181818181818181,Tosin Adarabioyo
Wesley,Fofana,DEF,11,596,0,0,1,8,5,0,2,109.8,50.9,14.0,45,17.6,189,2.4444444444444446,Wesley Fofana
Jadon,Sancho,MID,18,260,0,4,0,3,1,0,1,75.8,112.6,31.0,64,21.9,386,2.8125,Jadon Sancho
Pedro,Lomba Neto,MID,8,240,0,1,0,2,2,0,0,50.0,91.1,30.0,62,17.1,560,1.2903225806451613,Pedro Lomba Neto
Caleb,Wiley,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,575,0.0,Caleb Wiley
Filip,Jørgensen,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,43,0.0,581,0.0,Filip Jørgensen
João,Félix Sequeira,MID,9,118,1,0,0,0,1,0,0,45.0,19.9,57.0,62,12.1,621,1.4516129032258065,João Félix Sequeira
Eddie,Nketiah,FWD,7,317,0,0,1,5,1,0,0,12.4,19.4,89.0,59,11.8,11,1.1864406779661016,Eddie Nketiah
