element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty,avg_score_last_3,avg_mins_last_3,goals_last_3,assists_last_3,xG_last_3,xA_last_3,goals_conceded_last_3,avg_xGC_last_3,clean_sheets_last_3
4,Kai Havertz,FWD,8,2,83,90,0.04,0.02,1.82,0,0,2,0,1.7,71,False,3,5.333333333333333,90.0,2.0,0.0,2.7199999999999998,0.08,5.0,1.0433333333333337,0.0
4,Kai Havertz,FWD,9,2,82,90,0.17,0.47,0.85,0,0,2,0,4.7,81,True,5,5.333333333333333,90.0,2.0,0.0,2.6999999999999997,0.1,5.0,0.9300000000000002,0.0
5,Karl Hein,GK,2,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,3,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,21,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,4,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,39,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,5,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,47,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,6,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,51,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,7,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,61,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,8,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,71,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Karl Hein,GK,9,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,81,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Jurriën Timber,DEF,2,6,55,78,0.0,0.01,1.12,0,0,0,1,1.0,11,False,4,1.0,21.0,0.0,0.0,0.02,0.01,0.0,0.15,0.0
6,Jurriën Timber,DEF,3,1,55,79,0.0,0.02,1.55,0,0,1,0,2.7,21,True,2,3.5,49.5,0.0,0.0,0.02,0.02,0.0,0.635,1.0
6,Jurriën Timber,DEF,4,5,55,90,0.05,0.01,0.74,0,0,0,1,2.2,39,False,4,2.6666666666666665,59.333333333333336,0.0,0.0,0.02,0.04,1.0,0.9400000000000001,1.0
6,Jurriën Timber,DEF,5,2,55,90,0.0,0.0,1.68,0,0,1,0,1.2,47,False,5,4.0,82.33333333333333,0.0,0.0,0.05,0.04,1.0,1.1366666666666667,2.0
6,Jurriën Timber,DEF,6,4,55,90,0.21,0.12,0.32,0,1,2,0,13.9,51,True,2,2.6666666666666665,86.33333333333333,0.0,0.0,0.05,0.03,2.0,1.3233333333333333,1.0
6,Jurriën Timber,DEF,7,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,61,True,2,3.6666666666666665,90.0,0.0,1.0,0.26,0.13,3.0,0.9133333333333334,1.0
6,Jurriën Timber,DEF,8,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,71,False,3,2.0,60.0,0.0,1.0,0.21,0.12,3.0,0.6666666666666666,0.0
6,Jurriën Timber,DEF,9,2,55,75,0.0,0.02,0.54,0,0,1,0,2.8,81,True,5,1.3333333333333333,30.0,0.0,1.0,0.20999999999999996,0.12,2.0,0.10666666666666667,0.0
7,Jorge Luiz Frello Filho,MID,2,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jorge Luiz Frello Filho,MID,3,0,49,0,0.0,0.0,0.0,0,0,0,0,0.0,21,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jorge Luiz Frello Filho,MID,4,2,49,90,0.0,0.0,0.74,0,0,0,1,0.2,39,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jorge Luiz Frello Filho,MID,5,0,49,0,0.0,0.0,0.0,0,0,0,0,0.0,47,False,5,0.6666666666666666,30.0,0.0,0.0,0.0,0.0,0.0,0.24666666666666667,1.0
7,Jorge Luiz Frello Filho,MID,6,0,49,0,0.0,0.0,0.0,0,0,0,0,0.0,51,True,2,0.6666666666666666,30.0,0.0,0.0,0.0,0.0,0.0,0.24666666666666667,1.0
7,Jorge Luiz Frello Filho,MID,7,2,49,60,0.04,0.14,0.32,0,0,1,0,2.5,61,True,2,0.6666666666666666,30.0,0.0,0.0,0.0,0.0,0.0,0.24666666666666667,1.0
7,Jorge Luiz Frello Filho,MID,8,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,71,False,3,0.6666666666666666,20.0,0.0,0.0,0.04,0.14,1.0,0.10666666666666667,0.0
7,Jorge Luiz Frello Filho,MID,9,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,81,True,5,0.6666666666666666,20.0,0.0,0.0,0.04,0.14,1.0,0.10666666666666667,0.0
8,Jakub Kiwior,DEF,2,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jakub Kiwior,DEF,3,0,49,0,0.0,0.0,0.0,0,0,0,0,0.0,21,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jakub Kiwior,DEF,4,0,49,0,0.0,0.0,0.0,0,0,0,0,0.0,39,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jakub Kiwior,DEF,5,1,49,16,0.0,0.0,0.99,0,0,1,0,0.5,47,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jakub Kiwior,DEF,6,0,48,0,0.0,0.0,0.0,0,0,0,0,0.0,51,True,2,0.3333333333333333,5.333333333333333,0.0,0.0,0.0,0.0,1.0,0.33,0.0
8,Jakub Kiwior,DEF,7,1,48,1,0.0,0.0,0.04,0,0,0,0,0.3,61,True,2,0.3333333333333333,5.333333333333333,0.0,0.0,0.0,0.0,1.0,0.33,0.0
8,Jakub Kiwior,DEF,8,0,48,43,0.0,0.0,1.69,0,0,2,0,0.3,71,False,3,0.6666666666666666,5.666666666666667,0.0,0.0,0.0,0.0,1.0,0.3433333333333333,0.0
8,Jakub Kiwior,DEF,9,1,48,36,0.0,0.0,0.45,0,0,1,0,0.6,81,True,5,0.3333333333333333,14.666666666666666,0.0,0.0,0.0,0.0,2.0,0.5766666666666667,0.0
9,Gabriel Martinelli Silva,MID,2,3,70,64,0.0,0.41,1.12,0,0,0,1,4.3,11,False,4,3.0,90.0,0.0,0.0,0.08,0.19,0.0,0.47,1.0
9,Gabriel Martinelli Silva,MID,3,1,70,16,0.0,0.0,0.65,0,0,0,0,0.0,21,True,2,3.0,77.0,0.0,0.0,0.08,0.6,0.0,0.795,2.0
9,Gabriel Martinelli Silva,MID,4,3,69,79,0.17,0.14,0.61,0,0,0,1,7.9,39,False,4,2.3333333333333335,56.666666666666664,0.0,0.0,0.08,0.6,0.0,0.7466666666666667,2.0
9,Gabriel Martinelli Silva,MID,5,5,69,86,0.0,0.06,1.48,0,1,1,0,5.4,47,False,5,2.3333333333333335,53.0,0.0,0.0,0.17,0.55,0.0,0.7933333333333333,2.0
