element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty,avg_score_last_3,avg_mins_last_3,goals_last_3,assists_last_3,xG_last_3,xA_last_3,ict_last_3,goals_conceded_last_3,avg_xGC_last_3,clean_sheets_last_3,avg_score_last_1,avg_mins_last_1,goals_last_1,assists_last_1,xG_last_1,xA_last_1,ict_last_1,goals_conceded_last_1,avg_xGC_last_1,clean_sheets_last_1
589,Niclas Füllkrug,FWD,3,1,69,19,0.0,0.09,0.76,0,0,1,0,0.8,30,True,5,1.0,22.0,0.0,0.0,0.25,0.0,2.7,1.0,0.41500000000000004,0.0,1.0,27.0,0.0,0.0,0.25,0.0,2.5,0.0,0.56,0.0
589,Niclas Füllkrug,FWD,4,0,68,0,0.0,0.0,0.0,0,0,0,0,0.0,35,False,3,1.0,21.0,0.0,0.0,0.25,0.09,3.5,2.0,0.53,0.0,1.0,19.0,0.0,0.0,0.0,0.09,0.8,1.0,0.76,0.0
589,Niclas Füllkrug,FWD,5,0,68,0,0.0,0.0,0.0,0,0,0,0,0.0,50,True,4,0.6666666666666666,15.333333333333334,0.0,0.0,0.25,0.09,3.3,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Niclas Füllkrug,FWD,6,0,67,0,0.0,0.0,0.0,0,0,0,0,0.0,53,False,3,0.3333333333333333,6.333333333333333,0.0,0.0,0.0,0.09,0.8,1.0,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Niclas Füllkrug,FWD,7,0,67,0,0.0,0.0,0.0,0,0,0,0,0.0,70,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Niclas Füllkrug,FWD,8,0,67,0,0.0,0.0,0.0,0,0,0,0,0.0,79,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Niclas Füllkrug,FWD,9,0,67,0,0.0,0.0,0.0,0,0,0,0,0.0,90,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Niclas Füllkrug,FWD,10,0,67,0,0.0,0.0,0.0,0,0,0,0,0.0,97,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,William Osula,FWD,3,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,28,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,William Osula,FWD,4,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,40,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,William Osula,FWD,5,1,50,7,0.0,0.0,0.47,0,0,1,0,0.1,44,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,William Osula,FWD,6,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,58,True,5,0.3333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,0.1,1.0,0.15666666666666665,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.1,1.0,0.47,0.0
590,William Osula,FWD,7,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,67,False,2,0.3333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,0.1,1.0,0.15666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,William Osula,FWD,8,1,50,1,0.0,0.0,0.01,0,0,0,0,0.0,76,True,2,0.3333333333333333,2.3333333333333335,0.0,0.0,0.0,0.0,0.1,1.0,0.15666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,William Osula,FWD,9,1,50,1,0.0,0.0,0.0,0,0,0,0,0.2,85,False,4,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
590,William Osula,FWD,10,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,96,True,5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.0033333333333333335,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
591,Jean-Clair Todibo,DEF,3,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,30,True,5,1.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,0.05,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03,0.0
591,Jean-Clair Todibo,DEF,4,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,35,False,3,0.6666666666666666,2.3333333333333335,0.0,0.0,0.0,0.0,0.5,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,Jean-Clair Todibo,DEF,5,0,44,0,0.0,0.0,0.0,0,0,0,0,0.0,50,True,4,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,Jean-Clair Todibo,DEF,6,2,44,90,0.1,0.01,0.37,0,0,1,0,3.2,53,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,Jean-Clair Todibo,DEF,7,2,44,90,0.0,0.0,0.65,0,0,1,0,2.0,70,True,2,0.6666666666666666,30.0,0.0,0.0,0.1,0.01,3.2,1.0,0.12333333333333334,0.0,2.0,90.0,0.0,0.0,0.1,0.01,3.2,1.0,0.37,0.0
591,Jean-Clair Todibo,DEF,8,0,44,90,0.0,0.01,1.92,0,0,4,0,4.0,79,False,4,1.3333333333333333,60.0,0.0,0.0,0.1,0.01,5.2,2.0,0.34,0.0,2.0,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.65,0.0
591,Jean-Clair Todibo,DEF,9,1,44,45,0.0,0.0,0.63,0,0,1,0,1.2,90,True,3,1.3333333333333333,90.0,0.0,0.0,0.1,0.02,9.2,6.0,0.98,0.0,0.0,90.0,0.0,0.0,0.0,0.01,4.0,4.0,1.92,0.0
591,Jean-Clair Todibo,DEF,10,1,44,90,0.0,0.0,2.17,0,0,3,0,1.4,97,False,2,1.0,75.0,0.0,0.0,0.0,0.01,7.2,6.0,1.0666666666666667,0.0,1.0,45.0,0.0,0.0,0.0,0.0,1.2,1.0,0.63,0.0
592,Julián Araujo Zúñiga,DEF,3,1,45,76,0.0,0.01,1.89,0,0,2,0,1.0,24,False,2,1.5,56.0,0.0,0.0,0.0,0.01,1.4,1.0,0.92,0.0,2.0,85.0,0.0,0.0,0.0,0.0,0.8,1.0,1.56,0.0
592,Julián Araujo Zúñiga,DEF,4,1,45,15,0.0,0.0,0.32,0,0,1,0,0.2,32,True,4,1.3333333333333333,62.666666666666664,0.0,0.0,0.0,0.02,2.4,3.0,1.2433333333333334,0.0,1.0,76.0,0.0,0.0,0.0,0.01,1.0,2.0,1.89,0.0
592,Julián Araujo Zúñiga,DEF,5,1,45,69,0.0,0.01,1.65,0,0,3,0,1.3,46,False,5,1.3333333333333333,58.666666666666664,0.0,0.0,0.0,0.01,1.9999999999999998,4.0,1.2566666666666666,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.2,1.0,0.32,0.0
