element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty
192,Marcus Bettinelli,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
224,Malcolm Ebiowei,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,7,False,2
29,Benjamin White,DEF,1,1,55,90,0.0,0.03,1.18,0,0,1,0,2.0,2,True,2
393,Teden Mengi,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
48,Ezri Konsa Ngoyo,DEF,1,0,45,90,0.0,0.01,3.44,0,0,5,0,1.5,6,False,4
15,Thomas Partey,MID,1,2,50,90,0.0,0.06,1.18,0,0,1,0,5.3,2,True,2
420,Jamal Lewis,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
34,Leon Bailey,MID,1,1,55,45,0.0,0.01,1.24,0,0,2,0,0.4,6,False,4
449,Ethan Horvath,GK,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
237,Luke Plange,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,7,False,2
398,Luke Shaw,DEF,1,5,55,90,0.0,0.04,2.27,0,0,0,1,3.9,10,True,2
565,Mario Lemina,MID,1,1,50,90,0.1,0.01,1.46,0,0,1,0,2.3,10,False,4
155,Andi Zeqiri,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,True,2
265,James Tarkowski,DEF,1,2,45,90,0.04,0.03,1.5,0,0,1,0,1.9,5,True,2
90,Kristoffer Ajer,DEF,1,1,45,83,0.0,0.01,1.14,0,0,2,0,1.7,8,True,3
450,Brennan Johnson,MID,1,2,60,79,0.28,0.0,0.43,0,0,2,0,0.5,2,False,5
235,Jake O'Brien,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,7,False,2
514,Ryan Sessegnon,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
72,Justin Kluivert,MID,1,1,50,30,0.0,0.01,0.23,0,0,0,0,0.0,3,True,2
57,Viljami Sinisalo,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,False,4
499,Pierre-Emile Højbjerg,MID,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
613,Lesley Ugochukwu,MID,1,1,45,1,0.0,0.0,0.02,0,0,0,0,0.0,9,True,4
601,Arnaut Danjuma Groeneveld,MID,1,1,55,18,0.0,0.01,1.18,0,0,1,0,1.8,5,True,2
205,Callum Hudson-Odoi,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
24,Kieran Tierney,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
281,Tim Ream,DEF,1,7,45,90,0.0,0.0,2.73,0,0,0,1,1.6,5,False,2
353,Phil Foden,MID,1,3,75,90,0.27,0.11,0.3,0,0,0,1,7.4,1,False,2
379,Christian Eriksen,MID,1,1,60,22,0.0,0.01,1.08,0,0,0,0,0.1,10,True,2
552,Fábio Silva,FWD,1,1,55,13,0.33,0.01,0.29,0,0,0,0,7.9,10,False,4
521,Alfie Whiteman,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
241,James Tomkins,DEF,1,1,40,1,0.0,0.0,0.0,0,0,0,0,0.0,7,False,2
490,William Osula,FWD,1,1,45,90,0.24,0.01,2.01,0,0,1,0,0.0,7,True,2
60,Ollie Watkins,FWD,1,5,80,90,0.23,0.1,3.44,0,1,5,0,8.5,6,False,4
5,Gabriel dos Santos Magalhães,DEF,1,1,50,4,0.0,0.0,0.02,0,0,0,0,0.0,2,True,2
25,Takehiro Tomiyasu,DEF,1,1,45,40,0.03,0.02,0.9,0,0,1,0,2.3,2,True,2
282,Harrison Reed,MID,1,3,50,90,0.0,0.08,2.73,0,0,0,1,2.8,5,False,2
583,Manor Solomon,MID,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
11,Marcus Oliveira Alencar,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
375,Eric Bailly,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
218,Hakim Ziyech,MID,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
541,Gianluca Scamacca,FWD,1,0,60,0,0.0,0.0,0.0,0,0,0,0,0.0,3,False,2
110,Christian Nørgaard,MID,1,2,55,71,0.0,0.01,1.02,0,0,2,0,1.7,8,True,3
421,Sean Longstaff,MID,1,1,50,5,0.0,0.0,0.32,0,0,0,0,0.0,6,True,3
582,Pelly Ruddock Mpanzu,MID,1,2,50,87,0.26,0.0,2.88,0,0,3,0,0.0,4,False,3
535,Danny Ings,FWD,1,1,60,12,0.12,0.0,0.94,0,0,1,0,1.0,3,False,2
400,Donny van de Beek,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
438,Giulian Biancone,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
21,Albert Sambi Lokonga,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
171,Luke McNally,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
143,Kaoru Mitoma,MID,1,5,65,90,0.02,0.62,1.45,0,1,1,0,11.3,4,True,2
190,Abdul Rahman Baba,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
78,Dango Ouattara,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,3,True,2
483,Daniel Jebbison,FWD,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,7,True,2
122,Simon Adingra,MID,1,6,50,16,0.25,0.01,1.04,1,0,1,0,6.9,4,True,2
180,Scott Twine,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
366,Sergio Gómez,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
442,Danilo dos Santos de Oliveira,MID,1,2,55,70,0.0,0.01,0.38,0,0,2,0,1.2,2,False,5
113,David Raya Martin,GK,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,8,True,3
423,Jacob Murphy,MID,1,4,50,4,0.0,0.29,0.32,0,1,0,0,5.0,6,True,3
614,Thomas Kaminski,GK,1,3,45,90,0.0,0.0,4.1,0,0,4,0,0.0,4,False,3
232,Jean-Philippe Mateta,FWD,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,7,False,2
79,Ben Pearson,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,3,True,2
175,Bailey Peacock-Farrell,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
445,Felipe Augusto de Almeida Monteiro,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
20,William Saliba,DEF,1,5,50,90,0.0,0.03,1.18,0,1,1,0,4.9,2,True,2
174,Michael Obafemi,FWD,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
252,Ben Godfrey,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,5,True,2
182,Victor da Silva,DEF,1,1,45,90,0.0,0.03,2.21,0,0,3,0,0.0,1,True,5
244,André Tavares Gomes,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,5,True,2
519,Destiny Udogie,DEF,1,1,45,90,0.0,0.04,2.02,0,0,2,0,3.5,8,False,2
118,Ryan Trevitt,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,8,True,3
332,Dion Pereira,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
176,Connor Roberts,DEF,1,1,45,90,0.0,0.01,2.21,0,0,3,0,0.0,1,True,5
43,Douglas Luiz Soares de Paulo,MID,1,1,55,90,0.19,0.15,3.44,0,0,5,0,5.1,6,False,4
101,Mark Flekken,GK,1,2,45,90,0.0,0.0,1.26,0,0,2,0,0.0,8,True,3
409,Martin Dubravka,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
629,James McConnell,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,9,False,3
292,Stefan Bajcetic,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,9,False,3
267,Andreas Hoelgebaum Pereira,MID,1,4,55,32,0.0,0.0,0.6,0,1,0,0,0.3,5,False,2
198,Marc Cucurella Saseta,DEF,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
280,João Palhinha Gonçalves,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,5,False,2
494,Bryan Gil Salvatierra,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
467,Neco Williams,DEF,1,1,45,18,0.0,0.0,0.46,0,0,0,0,0.4,2,False,5
404,Harrison Ashby,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
133,Billy Gilmour,MID,1,1,50,16,0.02,0.05,1.04,0,0,1,0,1.8,4,True,2
480,John Egan,DEF,1,2,45,90,0.04,0.0,2.01,0,0,1,0,0.0,7,True,2
98,Mikkel Damsgaard,MID,1,1,50,41,0.07,0.01,0.57,0,0,0,0,2.8,8,True,3
577,Angelo Ogbonna,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,3,False,2
474,Chris Basham,DEF,1,2,40,79,0.0,0.0,1.8,0,0,1,0,0.0,7,True,2
516,Son Heung-min,MID,1,2,90,74,0.08,0.05,1.72,0,0,2,0,3.7,8,False,2
298,Joe Gomez,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,9,False,3
80,Darren Randolph,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,3,True,2
536,Ben Johnson,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,3,False,2
506,Pedro Porro,DEF,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
159,Manuel Benson Hedilazio,MID,1,1,55,16,0.0,0.0,1.2,0,0,1,0,0.0,1,True,5
197,Levi Colwill,DEF,1,2,45,90,0.08,0.01,1.28,0,0,1,0,4.7,9,True,4
460,Jonathan Panzo,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
534,Pablo Fornals Malla,MID,1,2,50,85,0.09,0.09,1.35,0,0,1,0,3.9,3,False,2
314,Elijah Adebayo,FWD,1,2,50,63,0.0,0.09,1.55,0,0,1,0,0.0,4,False,3
103,Rico Henry,DEF,1,4,45,90,0.0,0.74,1.26,0,1,2,0,7.6,8,True,3
627,Bobby Clark,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,9,False,3
531,Flynn Downes,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,3,False,2
619,Ben Greenwood,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,3,True,2
432,Joe Willock,MID,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
422,Javier Manquillo Gaitán,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
388,Kobbie Mainoo,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
246,Dominic Calvert-Lewin,FWD,1,0,60,0,0.0,0.0,0.0,0,0,0,0,0.0,5,True,2
351,Tommy Doyle,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
100,Halil Dervişoğlu,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,8,True,3
330,Gabriel Osho,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
135,João Pedro Junqueira de Jesus,FWD,1,7,55,87,1.3,0.03,1.2,1,0,1,0,0.0,4,True,2
544,Kurt Zouma,DEF,1,2,45,90,0.0,0.0,1.37,0,0,1,0,1.9,3,False,2
461,Omar Richards,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
486,Iliman Ndiaye,FWD,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,7,True,2
337,Elliot Thorpe,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
348,Shea Charles,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
510,Joe Rodon,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
258,Neal Maupay,FWD,1,2,50,71,1.35,0.0,0.32,0,0,0,1,9.6,5,True,2
221,Jordan Ayew,MID,1,6,55,90,0.09,0.36,0.49,0,1,0,1,9.1,7,False,2
538,Divin Mubama,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,3,False,2
306,Nathaniel Phillips,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,9,False,3
309,Dominik Szoboszlai,MID,1,2,70,90,0.02,0.1,1.28,0,0,1,0,0.0,9,False,3
320,Jordan Clark,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,4,False,3
209,Mason Mount,MID,1,3,70,67,0.0,0.02,1.19,0,0,0,1,0.6,10,True,2
91,Ellery Balcombe,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,8,True,3
64,David Brooks,MID,1,2,50,74,0.16,0.02,0.88,0,0,1,0,3.5,3,True,2
134,Pascal Groß,MID,1,2,65,90,0.49,0.47,1.45,0,0,1,0,13.6,4,True,2
50,John McGinn,MID,1,2,55,63,0.0,0.03,1.8,0,0,3,0,1.9,6,False,4
505,Tanguy Ndombélé Alvaro,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,8,False,2
